word,n,sent
abafado.PoS=Adj,TG=HUM:N0,POL:N0=-1
abafante.PoS=Adj,TG=HUM:N0,POL:N0=-1
abaixado.PoS=Adj,TG=HUM:N0,POL:N0=-1
abalado.PoS=Adj,TG=HUM:N0,POL:N0=-1
abalizado.PoS=Adj,TG=HUM:N0,POL:N0=1
abalroado.PoS=Adj,TG=HUM:N0,POL:N0=-1
abalroar.PoS=V,TG=HUM:N0:N1,POL:N0=1
abanar.PoS=V,TG=HUM:N0:N1,POL:N0=1
abandalhado.PoS=Adj,TG=HUM:N0,POL:N0=-1
abandalhamento.PoS=N,TG=HUM:N0,POL:N0=-1
abandonado.PoS=Adj,TG=HUM:N0,POL:N0=-1
abandonar.PoS=V,TG=HUM:N0:N1,POL:N0=-1
abarcante.PoS=Adj,TG=HUM:N0,POL:N0=0
abarrotado.PoS=Adj,TG=HUM:N0,POL:N0=-1
abastado.PoS=Adj,TG=HUM:N0,POL:N0=1
abastecido.PoS=Adj,TG=HUM:N0,POL:N0=0
abater.PoS=V,TG=HUM:N0:N1,POL:N0=1
abatido.PoS=Adj,TG=HUM:N0,POL:N0=-1
abelhudo.PoS=Adj,TG=HUM:N0,POL:N0=-1
abençoado.PoS=Adj,TG=HUM:N0,POL:N0=1
aberração.PoS=N,TG=HUM:N0,POL:N0=-1
aberrante.PoS=Adj,TG=HUM:N0,POL:N0=-1
aberrativo.PoS=Adj,TG=HUM:N0,POL:N0=-1
aberto.PoS=Adj,TG=HUM:N0,POL:N0=1
abespinhado.PoS=Adj,TG=HUM:N0,POL:N0=-1
abestalhado.PoS=Adj,TG=HUM:N0,POL:N0=-1
abilolado.PoS=Adj,TG=HUM:N0,POL:N0=-1
abjeção.PoS=N,TG=HUM:N0,POL:N0=-1
abjecção.PoS=N,TG=HUM:N0,POL:N0=-1
abjecto.PoS=Adj,TG=HUM:N0,POL:N0=-1
abjeto.PoS=Adj,TG=HUM:N0,POL:N0=-1
abnegado.PoS=Adj,TG=HUM:N0,POL:N0=1
abobado.PoS=Adj,TG=HUM:N0,POL:N0=-1
abobalhado.PoS=Adj,TG=HUM:N0,POL:N0=-1
abolicionista.PoS=Adj,TG=HUM:N0,POL:N0=0
abolido.PoS=Adj,TG=HUM:N0,POL:N0=-1
abominador.PoS=Adj,TG=HUM:N0,POL:N0=-1
abominando.PoS=Adj,TG=HUM:N0,POL:N0=-1
abominar.PoS=V,TG=HUM:N0:N1,POL:N0=0
abominável.PoS=Adj,TG=HUM:N0,POL:N0=-1
abonado.PoS=Adj,TG=HUM:N0,POL:N0=1
abonatório.PoS=Adj,TG=HUM:N0,POL:N0=1
abonecado.PoS=Adj,TG=HUM:N0,POL:N0=0
aborrecer-se.PoS=V,TG=HUM:N0,POL:N0=-1
aborrecer.PoS=V,TG=HUM:N0:N1,POL:N0=1
aborrecido.PoS=Adj,TG=HUM:N0,POL:N0=-1
abortado.PoS=Adj,TG=HUM:N0,POL:N0=-1
abraçado.PoS=Adj,TG=HUM:N0,POL:N0=1
abrasileirado.PoS=Adj,TG=HUM:N0,POL:N0=0
abrigado.PoS=Adj,TG=HUM:N0,POL:N0=0
abrilhantado.PoS=Adj,TG=HUM:N0,POL:N0=1
abrir a alma.PoS=IDIOM,TG=HUM:N0,POL:N0=1
abrir o coração.PoS=IDIOM,TG=HUM:N0,POL:N0=1
abrir os olhos.PoS=IDIOM,TG=HUM:N0,POL:N0=1
abrupto.PoS=Adj,TG=HUM:N0,POL:N0=-1
abrutalhado.PoS=Adj,TG=HUM:N0,POL:N0=-1
absentista.PoS=Adj,TG=HUM:N0,POL:N0=-1
absolutista.PoS=Adj,TG=HUM:N0,POL:N0=0
absoluto.PoS=Adj,TG=HUM:N0,POL:N0=0
absolvido.PoS=Adj,TG=HUM:N0,POL:N0=0
absorvente.PoS=Adj,TG=HUM:N0,POL:N0=1
abstémico.PoS=Adj,TG=HUM:N0,POL:N0=1
abstémio.PoS=Adj,TG=HUM:N0,POL:N0=1
abstencionista.PoS=Adj,TG=HUM:N0,POL:N0=0
abstinente.PoS=Adj,TG=HUM:N0,POL:N0=0
abstracto.PoS=Adj,TG=HUM:N0,POL:N0=-1
abstraído.PoS=Adj,TG=HUM:N0,POL:N0=-1
abstrato.PoS=Adj,TG=HUM:N0,POL:N0=-1
abstrusidade.PoS=N,TG=HUM:N0,POL:N0=-1
abstruso.PoS=Adj,TG=HUM:N0,POL:N0=-1
absurdo.PoS=Adj,TG=HUM:N0,POL:N0=-1
abulia.PoS=N,TG=HUM:N0,POL:N0=-1
abúlico.PoS=Adj,TG=HUM:N0,POL:N0=-1
aburguesado.PoS=Adj,TG=HUM:N0,POL:N0=0
abusado.PoS=Adj,TG=HUM:N0,POL:N0=-1
abusador.PoS=Adj,TG=HUM:N0,POL:N0=-1
abusar.PoS=V,TG=HUM:N0:N1,POL:N0=-1
abusivo.PoS=Adj,TG=HUM:N0,POL:N0=-1
acabado.PoS=Adj,TG=HUM:N0,POL:N0=-1
acabadote.PoS=Adj,TG=HUM:N0,POL:N0=-1
