word,sent
abafado,-1.0
abafante,-1.0
abaixado,-1.0
abalado,-1.0
abalizado,1.0
abalroado,-1.0
abalroar,1.0
abanar,1.0
abandalhado,-1.0
abandalhamento,-1.0
abandonado,-1.0
abandonar,-1.0
abarcante,0.0
abarrotado,-1.0
abastado,1.0
abastecido,0.0
abater,1.0
abatido,-1.0
abelhudo,-1.0
abençoado,1.0
aberração,-1.0
aberrante,-1.0
aberrativo,-1.0
aberto,1.0
abespinhado,-1.0
abestalhado,-1.0
abilolado,-1.0
abjeção,-1.0
abjecção,-1.0
abjecto,-1.0
abjeto,-1.0
abnegado,1.0
abobado,-1.0
abobalhado,-1.0
abolicionista,0.0
abolido,-1.0
abominador,-1.0
abominando,-1.0
abominar,0.0
abominável,-1.0
abonado,1.0
abonatório,1.0
abonecado,0.0
aborrecer-se,-1.0
aborrecer,1.0
aborrecido,-1.0
abortado,-1.0
abraçado,1.0
abrasileirado,0.0
abrigado,0.0
abrilhantado,1.0
abrupto,-1.0
abrutalhado,-1.0
absentista,-1.0
absolutista,0.0
absoluto,0.0
absolvido,0.0
absorvente,1.0
abstémico,1.0
abstémio,1.0
abstencionista,0.0
abstinente,0.0
abstracto,-1.0
abstraído,-1.0
abstrato,-1.0
abstrusidade,-1.0
abstruso,-1.0
absurdo,-1.0
abulia,-1.0
abúlico,-1.0
aburguesado,0.0
abusado,-1.0
abusador,-1.0
abusar,-1.0
abusivo,-1.0
acabado,-1.0
acabadote,-1.0
acabrunhado,-1.0
acaciano,-1.0
acadêmico,0.0
acalorado,0.0
açambarcador,-1.0
acanhado,-1.0
acanhamento,-1.0
acanhar-se,-1.0
acatado,1.0
acatador,0.0
acautelado,0.0
acéfalo,-1.0
aceitável,1.0
aceite,0.0
aceito,0.0
acelerado,0.0
acentuado,0.0
acerado,-1.0
acerbidade,-1.0
acerbo,-1.0
acérrimo,-1.0
acertado,1.0
aceso,0.0
acessível,1.0
achacado,-1.0
achado,0.0
achatado,-1.0
achegado,1.0
achincalhar,-1.0
achinesado,0.0
acidentado,-1.0
aciganado,-1.0
acintoso,-1.0
acirrado,-1.0
aclamado,0.0
aclamar,0.0
acobardado,-1.0
acobardar-se,-1.0
acobertado,-1.0
acobreado,0.0
acocado,-1.0
açoitado,-1.0
acolhedor,1.0
acolhido,0.0
acomodadiço,-1.0
acomodar-se,-1.0
acomodatício,0.0
acompanhado,0.0
acompanhador,0.0
acompanhante,0.0
aconchegado,1.0
acordado,0.0
acorrentado,-1.0
acorrentar-se,-1.0
acorrentar,1.0
acossado,-1.0
acossar,1.0
acostumado,0.0
acotovelar,0.0
açougueiro,-1.0
acre,-1.0
acreditado,1.0
acreditar,0.0
acriançado,-1.0
acrisolado,0.0
acrítico,-1.0
activo,1.0
actualista,0.0
acudir,1.0
aculturado,-1.0
acurado,1.0
acusado,-1.0
acusar,0.0
acutilante,-1.0
adâmico,-1.0
adaptado,0.0
adepto,1.0
adequado,1.0
adestrado,1.0
adicional,0.0
adiposo,-1.0
adjacente,0.0
administrado,0.0
admirar,0.0
admirável,1.0
admitido,0.0
admoestador,-1.0
adoentado,-1.0
adorado,1.0
adorando,1.0
adorar,0.0
adorável,1.0
adormecido,-1.0
adulador,-1.0
adulterador,-1.0
adulterino,-1.0
adultério,-1.0
adúltero,-1.0
adulto,0.0
adventista,0.0
adverso,-1.0
aéreo,-1.0
afabilidade,1.0
afamado,1.0
afanado,-1.0
afasia,-1.0
afásico,-1.0
afastar,0.0
afável,1.0
afectado,-1.0
afectar,0.0
afectividade,1.0
afectivo,1.0
afecto,1.0
afectuoso,1.0
afeiçoado,1.0
afeito,0.0
afeminado,-1.0
aferido,0.0
aferrado,0.0
afetado,-1.0
afetividade,1.0
afetivo,1.0
afeto,1.0
afetuoso,1.0
afiado,-1.0
afidalgado,0.0
afilado,0.0
afilhado,0.0
afinado,1.0
afincado,0.0
afirmativo,1.0
aflição,-1.0
afligido,-1.0
afligir-se,-1.0
afligir,0.0
aflitivo,-1.0
aflito,-1.0
afobado,-1.0
afogado,-1.0
afogar-se,-1.0
afogueado,0.0
afoiteza,1.0
afoito,1.0
afortunado,1.0
afrancesado,0.0
afrontado,-1.0
afrontar,1.0
afrontoso,-1.0
afugentar,1.0
afundado,-1.0
afundanço,-1.0
afundar-se,-1.0
afundar,1.0
agachado,-1.0
agarotado,-1.0
agarrado,-1.0
agasalhado,0.0
agastadiço,-1.0
agastado,-1.0
agastar-se,-1.0
ágil,1.0
agilidade,1.0
agiota,-1.0
aglomerado,0.0
agnóstico,0.0
agoirento,-1.0
agonia,-1.0
agoniado,-1.0
agoniante,-1.0
agoniar,-1.0
agonizante,-1.0
agoureiro,-1.0
agourento,-1.0
agradado,1.0
agradar,1.0
agradável,1.0
agradecer,0.0
agrado,1.0
agravado,-1.0
agravar,-1.0
agre,-1.0
agredir,-1.0
agregado,0.0
agressividade,-1.0
agressivo,-1.0
agressor,-1.0
agreste,-1.0
agrilhoado,-1.0
agrosseirado,-1.0
aguado,-1.0
aguardado,0.0
aguçado,-1.0
agudo,0.0
aguentar-se,1.0
aguerrido,0.0
airoso,1.0
ajanotado,0.0
ajudado,1.0
ajuizado,1.0
alapado,-1.0
alarmante,-1.0
alarmismo,-1.0
alarmista,-1.0
alarve,-1.0
alarvice,-1.0
albigense,0.0
albino,-1.0
alcandorado,0.0
alcoólatra,-1.0
alcoólico,-1.0
alcoolismo,-1.0
alcoolizado,-1.0
alcunhado,0.0
aldrabão,-1.0
alegado,-1.0
alegrar-se,1.0
alegre,1.0
alegrete,0.0
alegria,1.0
alegrote,0.0
aleijado,-1.0
aleivoso,-1.0
alentado,1.0
alentador,1.0
alento,1.0
alérgico,0.0
alfabetizado,0.0
algemado,-1.0
alheado,-1.0
alhear-se,-1.0
alheio,-1.0
aliado,0.0
alicerçado,1.0
aliciado,-1.0
aliciar,-1.0
alienado,-1.0
alienígena,-1.0
aligeirado,0.0
alimentado,0.0
alinhado,1.0
aliviado,0.0
almo,1.0
almóada,0.0
almorávida,0.0
aloirado,0.0
alourado,0.0
alquebrado,-1.0
altamente,1.0
altaneiro,-1.0
alteroso,0.0
altivo,-1.0
