word,sent
bater a bota,-1.0
bater as botas,-1.0
bater com o nariz na porta,-1.0
bater no ceguinho,-1.0
bater no fundo,-1.0
bem ataviado,0.0
bem constituído,0.0
bem disposto,1.0
bem mandado,-1.0
bem vestido,1.0
boa apresentação,1.0
boa criação,1.0
boa disposição,1.0
boa educação,1.0
boa formação,1.0
boa parecença,1.0
boa performance,1.0
boas intenções,1.0
bom aluno,1.0
bom cheiro,1.0
bom comportamento,1.0
bom desempenho,1.0
bom humor,1.0
cabeça dura,-1.0
cair na armadilha,-1.0
cair na boca do lobo,-1.0
cair na ratoeira,-1.0
cair por terra,-1.0
calar a boca,-1.0
calar o bico,-1.0
cantar bem mas não me alegra,-1.0
cantar de galo,-1.0
cantar vitória antes do tempo,-1.0
captar eleitorado,1.0
cara de cu,-1.0
cara de pau,-1.0
certo nas contas,1.0
chamar nomes a,0.0
chamar os bois pelos nomes,1.0
cheio de nove horas,-1.0
cheirar a mofo,-1.0
chico esperto,-1.0
chorar sobre o leite derramado,-1.0
colocar o dedo na ferida,1.0
combater o desemprego,1.0
comer gato por lebre,-1.0
comer o pão que o diabo amassou,-1.0
complicar a vida a,1.0
comprar gato por lebre,-1.0
confundir alhos com bugalhos,-1.0
conquistar terreno a,1.0
conseguir um grande feito,1.0
contentar-se com pouco,-1.0
conversa fiada,1.0
correr a toque de caixa,-1.0
cortar na casaca de,-1.0
cortar o pio a,1.0
cruzar os braços,-1.0
cultura democrática,1.0
curto de vistas,-1.0
dar à língua,-1.0
dar à sola,-1.0
dar à soleta,-1.0
dar a volta ao miolo,-1.0
dar alegrias a,1.0
dar ao pé,-1.0
dar bandeira,-1.0
dar barraca,-1.0
dar cabo da vida a,-1.0
dar cabo de,1.0
dar com a boca no trombone,-1.0
dar com a língua nos dentes,-1.0
dar com os burros na água,-1.0
dar com os pés a,-1.0
dar conta do recado,1.0
dar de frosques,-1.0
dar graxa a,-1.0
dar no duro,1.0
dar o corpo ao manifesto,-1.0
dar o dito por não dito,-1.0
dar o golpe a,-1.0
dar o golpe do baú,-1.0
dar o litro,1.0
dar o primeiro passo,1.0
dar palmadinhas nas costas a,-1.0
dar pontapés na gramática,-1.0
dar tiros nos pés,-1.0
dar um baile a,1.0
dar um banho a,1.0
dar um banho de cultura a,1.0
dar um pontapé no cu a,-1.0
dar um show de bola,1.0
dar um tiro no pé,-1.0
dar uma banhada a,1.0
dar uma coça a,1.0
dar uma lição a,1.0
dar uma lição de moral a,1.0
dar uma malha a,1.0
dar uma mãozinha a,1.0
dar uma no cravo e outra na ferradura,-1.0
dar uma surra a,1.0
dar voltas no caixão,-1.0
defraudar as expectativas de,-1.0
deitar achas na fogueira,-1.0
deitar água na fervura,1.0
deitar as unhas a,-1.0
deitar foguetes antes da festa,-1.0
deitar lenha na fogueira,-1.0
deitar poeira aos olhos a,-1.0
deitar poeira para os olhos de,-1.0
deitar tudo a perder,-1.0
deitar tudo para trás das costas,-1.0
deitar tudo por água abaixo,-1.0
deixar com as calças na mão,-1.0
deixar com as mãos a abanar,-1.0
deixar de rastos,-1.0
deixar muito a desejar,-1.0
deixar o barco à deriva,-1.0
deixar o país de tanga,-1.0
deixar tudo para depois,-1.0
deixar-se levar,-1.0
denegrir a imagem de,0.0
denegrir a sua imagem,-1.0
depressão maníaca,-1.0
desaparecer do mapa,-1.0
descer ao mais baixo nível,-1.0
descer nas sondagens,-1.0
desviar dinheiro,-1.0
dever comer farinha maizena,-1.0
dever dobrar a língua,-1.0
dever ter vergonha na cara,-1.0
devoto de Baco,-1.0
dificultar a vida a,1.0
digno de confiança,1.0
direito de contas,1.0
dizer a verdade,1.0
dizer algumas verdades a,1.0
dizer cobras e lagartos de,-1.0
dizer mal de,0.0
dizer umas quantas verdades a,1.0
doido de todo,-1.0
doido varrido,-1.0
duro da mioleira,-1.0
duro de ouvido,-1.0
encher as medidas de,1.0
encolher os ombros,-1.0
encostar à parede,1.0
encostar a um canto,1.0
encostar às cordas,1.0
encostar às tábuas,1.0
encostar-se a,-1.0
enfiar o barrete,-1.0
enfrentar o touro pelos cornos,1.0
engolir em seco,-1.0
enterrar a cabeça na areia,-1.0
entregar a alma ao criador,-1.0
entregar a alma ao diabo,-1.0
entregar o ouro ao bandido,-1.0
entregar-se de corpo e alma,1.0
erguer a cabeça,1.0
esbanjar dinheiro,-1.0
esconder a verdade,-1.0
espetar-se ao comprido,-1.0
estalar o verniz,-1.0
estar à altura de,1.0
estar à altura,1.0
estar a anos luz de,-1.0
estar à beira do precipício,-1.0
estar à deriva,-1.0
estar a dormir à sombra da bananeira,-1.0
estar a dormir,-1.0
estar a falar para as paredes,-1.0
estar a falar sozinho,-1.0
estar a jeito,-1.0
estar à nora,-1.0
estar a pensar na morte da bezerra,-1.0
estar à rasca,-1.0
estar à rasquinha,-1.0
estar a secar,-1.0
estar à sombra da bananeira,-1.0
estar aí para as curvas,1.0
estar ao deus dará,-1.0
estar armado em carapau de corrida,-1.0
estar às aranhas,-1.0
estar às cegas,-1.0
estar às turras com,-1.0
estar bem,1.0
estar com a cabeça na lua,-1.0
estar com a corda ao pescoço,-1.0
estar com a corda na garganta,-1.0
estar com a corda no pescoço,-1.0
estar com a lágrima no canto do olho,-1.0
estar com cara de caso,-1.0
estar com dor de corno,-1.0
estar com dor de cotovelo,-1.0
estar com macacos na cabeça,-1.0
estar com macacos no sótão,-1.0
estar com macaquinhos na cabeça,-1.0
estar com macaquinhos no sótão,-1.0
estar com o coração nas mãos,-1.0
estar com os azeites,-1.0
estar com os pés para a cova,-1.0
estar com um aperto no coração,-1.0
estar de cabeça quente,-1.0
estar de mãos a abanar,-1.0
estar de mãos atadas,-1.0
estar de mãos e pés atados,-1.0
estar de molho,-1.0
estar de olhos vendados,-1.0
estar de pés atados,-1.0
estar de saúde,1.0
estar de tanga,-1.0
estar de trombas,-1.0
estar em baixo de forma,-1.0
estar em baixo,-1.0
estar em grande forma,1.0
estar em grande,1.0
estar em pedaços,-1.0
estar em pele e osso,-1.0
estar enterrado até às orelhas,-1.0
estar feito ao bife,-1.0
estar feito barata tonta,-1.0
estar feito com,-1.0
estar fora de si,-1.0
estar na lua,-1.0
estar na retranca,-1.0
estar nas mãos de,-1.0
estar nas sete quintas,1.0
estar no bom caminho,1.0
estar num beco sem saída,-1.0
estar pelos cabelos,-1.0
estar por um fio,-1.0
estar sempre a bater na mesma tecla,-1.0
estar-se nas tintas,-1.0
esticar o pernil,-1.0
esvair-se em sangue,-1.0
experimentar dificuldades,-1.0
falar com convicção,1.0
falar de barriga cheia,-1.0
falar demais,-1.0
falar para as paredes,-1.0
falar para o boneco,-1.0
falar sem convicção,-1.0
falar verdade,1.0
faltar à palavra,-1.0
faltar ao compromisso,-1.0
faltar ao respeito,-1.0
fazer à custa de,-1.0
fazer a folha a,-1.0
fazer asneira,-1.0
fazer beicinho,-1.0
fazer biquinho,-1.0
fazer boa figura,1.0
fazer caretas,-1.0
fazer com os olhos fechados,1.0
fazer com uma perna às costas,1.0
fazer das tripas coração,1.0
fazer faísca,-1.0
fazer figura de urso,-1.0
fazer figura triste,-1.0
fazer filmes,-1.0
fazer gato e sapato de,-1.0
fazer horas,-1.0
fazer má figura,-1.0
fazer orelhas moucas,-1.0
fazer ouvidos de mercador,-1.0
fazer pouco de,0.0
fazer sombra a,1.0
fazer um grande feito,1.0
fazer um negócio da China,1.0
fazer uma boa jogada,1.0
fazer uma figura decente,1.0
fazer uma jogada de mestre,1.0
fazer uma rica parelha,-1.0
fazer uma tempestade num copo de água,-1.0
fazer vista grossa,-1.0
fazer xeque-mate,1.0
fazer-se de vítima,-1.0
fechar os olhos,-1.0
fechar-se em copas,-1.0
ferver em pouca água,-1.0
ficar a apanhar bonés,-1.0
ficar a chupar no dedo,-1.0
ficar à deriva,-1.0
ficar a dormir à sombra da bananeira,-1.0
ficar a falar para as paredes,-1.0
ficar a falar sozinho,-1.0
ficar a jeito,-1.0
ficar à nora,-1.0
ficar a pensar na morte da bezerra,-1.0
ficar a secar,-1.0
ficar à sombra da bananeira,-1.0
