word,sentiment
deixa muito a desejar,-1
alcança as expectativas,1
não alcança as expectativas,-1
ponto forte,1
ponto fraco,-1
por pouco,-1
por muito,1
alta capacidade,1
baixa capacidade,-1
muito poder,1
pouco poder,1
bem-estar,1
magia negra,-1
abrir a alma,1
abrir o coração,1
abrir os olhos,1
acertar na mosca,1
acertar na mouche,1
achar piada a,0
acordar com o rabo para o ar,-1
acordar com os pés de fora,-1
afogar as mágoas,-1
afogar-se em pouca água,-1
agarrar a oportunidade com unhas e dentes,1
agarrar a oportunidade,1
agarrar o touro pelos cornos,1
agarrar-se ao poder,-1
agir de boa-fé,1
agir de má-fé,-1
alienação mental,-1
amigo da onça,-1
amigo da pinga,-1
amigo dos copos,-1
andar a apanhar bonés,-1
andar à deriva,-1
andar a dormir à sombra da bananeira,-1
andar a dormir,-1
andar a falar sozinho,-1
andar à nora,-1
andar a pensar na morte da bezerra,-1
andar a reboque de,-1
andar à sombra da bananeira,-1
andar ao deus dará,-1
andar aos bonés,-1
andar aos caídos,-1
andar aos papéis,-1
andar armado em carapau de corrida,-1
andar às aranhas,-1
andar às cavalitas de,-1
andar às cegas,-1
andar às turras com,-1
andar com a cabeça na lua,-1
andar com cara de caso,-1
andar com dor de corno,-1
andar com dor de cotovelo,-1
andar com macacos na cabeça,-1
andar com macacos no sótão,-1
andar com macaquinhos na cabeça,-1
andar com macaquinhos no sótão,-1
andar com o coração nas mãos,-1
andar com os azeites,-1
andar de olhos vendados,-1
andar de trombas,-1
andar em pele e osso,-1
andar feito barata tonta,-1
andar feito com,-1
andar na boa vida,-1
andar na lua,-1
andar na má vida,-1
andar nas sete quintas,1
andar pelos cabelos,-1
animal político,1
anorexia nervosa,-1
apanhar nas orelhas,-1
apanhar por tabela,-1
aplicar golpes baixos a,-1
apresentar alternativas,1
apresentar resultados,1
apunhalar pelas costas,-1
armar-se aos cágados,-1
armar-se aos cucos,-1
armar-se em carapau de corrida,-1
armar-se em chico esperto,-1
armar-se em parvo,-1
arranjar lenha para se queimar,-1
arranjar sarna para se coçar,-1
arranjar um bico de obra,-1
armar barraca,-1
arrumar a um canto,1
arrumar as botas,-1
assédio sexual,-1
atirar areia para os olhos de,-1
atirar barro à parede,-1
atirar com as culpas a,-1
atirar poeira aos olhos de,-1
atrasado mental,-1
atraso mental,-1
baço para espelho,-1
acordar com o rabo para o ar,-1
acordar com os pés de fora,-1
afogar as mágoas,-1
afogar-se em pouca água,-1
agarrar a oportunidade com unhas e dentes,1
agarrar a oportunidade,1
agarrar o touro pelos cornos,1
agarrar-se ao poder,-1
agir de boa-fé,1
agir de má-fé,-1
aguentar-se bem,1
alienação mental,-1
amigo da onça,-1
amigo da pinga,-1
amigo dos copos,-1
andar a apanhar bonés,-1
andar à deriva,-1
andar a dormir à sombra da bananeira,-1
andar a dormir,-1
andar a falar sozinho,-1
andar à nora,-1
andar a pensar na morte da bezerra,-1
andar a reboque de,-1
andar à sombra da bananeira,-1
andar ao deus dará,-1
andar aos bonés,-1
andar aos caídos,-1
